Title,ISBN,Author,Published Year,Publisher,Status,
Beowulf,978-0000000001,Unknown- Seamus Heaney,1975,HarperCollins Publishers,Available,
Batman: Year One,978-0000000002,Frank Miller- David Mazzucchelli- Richmond Lewis- Dennis O'Neil,1987,HarperCollins Publishers,Available,
Go Set a Watchman,978-0000000003,Harper Lee,2015,Amazon Digital Services- Inc.,Borrowed,
When You Are Engulfed in Flames,978-0000000004,David Sedaris,2008,Hachette Book Group,Borrowed,
Daughter of Smoke & Bone,978-0000000005,Laini Taylor,2011,Penguin Group (USA) LLC,Available,
Red Queen,978-0000000006,Victoria Aveyard,2015,Amazon Digital Services- Inc.,Available,
The Power of Habit,978-0000000007,Charles Duhigg,2011,HarperCollins Publishers,Available,
Midnight in the Garden of Good and Evil,978-0000000008,John Berendt,1994,Hachette Book Group,Available,
Hopeless,978-0000000009,Colleen Hoover,2012,HarperCollins Publishers,Available,
A Little Princess,978-0000000010,Frances Hodgson Burnett- Nancy Bond,1905,Random House LLC,Available,
The Truth About Forever,978-0000000011,Sarah Dessen,2004,Amazon Digital Services- Inc.,Borrowed,
The horse and his boy,978-0000000012,C.S. Lewis,1954,Penguin Group (USA) LLC,Available,
Last Sacrifice,978-0000000013,Richelle Mead,2010,Amazon Digital Services- Inc.,Borrowed,
Little House on the Prairie,978-0000000014,Laura Ingalls Wilder- Garth Williams,1935,HarperCollins Publishers,Available,
The Velveteen Rabbit,978-0000000015,Margery Williams Bianco- William Nicholson,1922,Random House LLC,Available,
Zen and the Art of Motorcycle Maintenance,978-0000000016,Robert M. Pirsig,1974,Amazon Digital Services- Inc.,Available,
The War of the Worlds,978-0000000017,H.G. Wells- Arthur C. Clarke,1897,Amazon Digital Services- Inc.,Available,
Pretty Little Liars,978-0000000018,Sara Shepard,2006,Amazon Digital Services- Inc.,Available,
Corduroy,978-0000000019,Don Freeman,1948,Simon and Schuster Digital Sales Inc,Available,
The Omnivore's Dilemma,978-0000000020,Michael Pollan,2006,Amazon Digital Services- Inc.,Available,
Life After Life,978-0000000021,Kate Atkinson,2013,Amazon Digital Services- Inc.,Available,
The Rescue,978-0000000022,Nicholas Sparks,2000,Amazon Digital Services- Inc.,Available,
Needful Things,978-0000000023,Stephen King,1991,Amazon Digital Services- Inc.,Available,
Voyager,978-0000000024,Diana Gabaldon,1993,Amazon Digital Services- Inc.,Borrowed,
,978-0000000025,Kenneth Branagh- William Shakespeare,1996,Amazon Digital Services- Inc.,Available,
Cujo,978-0000000026,Stephen King,1981,Amazon Digital Services- Inc.,Borrowed,
The Virgin Suicides,978-0000000027,Jeffrey Eugenides,1993,Penguin Group (USA) LLC,Available,
Dead to the World,978-0000000028,Charlaine Harris,2004,Amazon Digital Services- Inc.,Available,
Tess of the d'Urbervilles: A Pure Woman Faithfully Presented,978-0000000029,Thomas Hardy- Tim Dolin- Margaret R. Higonnet,1891,Hachette Book Group,Available,
Madame Bovary,978-0000000030,Gustave Flaubert- Margaret Mauldon- Malcolm Bowie- Mark Overstall,1856,Amazon Digital Services- Inc.,Reserved,
The Phantom Tollbooth,978-0000000031,Norton Juster- Jules Feiffer,1961,Amazon Digital Services- Inc.,Borrowed,
The Way of Kings,978-0000000032,Brandon Sanderson,2010,Amazon Digital Services- Inc.,Borrowed,
Club Dead,978-0000000033,Charlaine Harris,2003,HarperCollins Publishers,Available,
It's Kind of a Funny Story,978-0000000034,Ned Vizzini,2006,HarperCollins Publishers,Available,
,978-0000000035,Brandon Sanderson,2007,Random House LLC,Available,
After You,978-0000000036,Jojo Moyes,2015,Amazon Digital Services- Inc.,Available,
The Language of Flowers,978-0000000037,Vanessa Diffenbaugh,2011,Amazon Digital Services- Inc.,Available,
Batman: The Dark Knight Returns,978-0000000038,Frank Miller- Klaus Janson- Lynn Varley,1986,Amazon Digital Services- Inc.,Available,
The Angel Experiment,978-0000000039,James Patterson,2005,Amazon Digital Services- Inc.,Reserved,
High Fidelity,978-0000000040,Nick Hornby,1995,Random House LLC,Borrowed,
The Guardian,978-0000000041,Nicholas Sparks,2003,Amazon Digital Services- Inc.,Available,
Oryx and Crake,978-0000000042,Margaret Atwood,2003,Amazon Digital Services- Inc.,Available,
Men Are from Mars- Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships,978-0000000043,John Gray,1998,Amazon Digital Services- Inc.,Available,
Kitchen Confidential: Adventures in the Culinary Underbelly,978-0000000044,Anthony Bourdain,2000,HarperCollins Publishers,Available,
Timeline,978-0000000045,Michael Crichton,1999,Amazon Digital Services- Inc.,Borrowed,
Candide,978-0000000046,Voltaire,1759,Amazon Digital Services- Inc.,Available,
